gemma4_e2b	eos.finish_reason	ERROR Invalid argument: cannot resolve decoder state from tensor shapes (inputs: [], outputs: ["hidden_states.34"]); give a hidden/auxiliary output the hidden_states port role, or bind the per-layer buffers in a pipeline.workflow.serving.state_service group
gemma4_e2b	greedy.finish_reason	ERROR Invalid argument: cannot resolve decoder state from tensor shapes (inputs: [], outputs: ["hidden_states.34"]); give a hidden/auxiliary output the hidden_states port role, or bind the per-layer buffers in a pipeline.workflow.serving.state_service group
gemma4_e2b	greedy.repeat	ERROR Invalid argument: cannot resolve decoder state from tensor shapes (inputs: [], outputs: ["hidden_states.34"]); give a hidden/auxiliary output the hidden_states port role, or bind the per-layer buffers in a pipeline.workflow.serving.state_service group
gemma4_e2b	greedy.tokens	ERROR Invalid argument: cannot resolve decoder state from tensor shapes (inputs: [], outputs: ["hidden_states.34"]); give a hidden/auxiliary output the hidden_states port role, or bind the per-layer buffers in a pipeline.workflow.serving.state_service group
gemma4_e2b	load	ok
gemma4_e2b	seeded.repeat	ERROR Invalid argument: cannot resolve decoder state from tensor shapes (inputs: [], outputs: ["hidden_states.34"]); give a hidden/auxiliary output the hidden_states port role, or bind the per-layer buffers in a pipeline.workflow.serving.state_service group
gemma4_e2b	seeded.tokens	ERROR Invalid argument: cannot resolve decoder state from tensor shapes (inputs: [], outputs: ["hidden_states.34"]); give a hidden/auxiliary output the hidden_states port role, or bind the per-layer buffers in a pipeline.workflow.serving.state_service group
gemma4_e2b	session.open	ERROR Invalid argument: cannot resolve decoder state from tensor shapes (inputs: [], outputs: ["hidden_states.34"]); give a hidden/auxiliary output the hidden_states port role, or bind the per-layer buffers in a pipeline.workflow.serving.state_service group
gemma4_e2b_speculative	load	ERROR declared kv_outputs port 'present.4.key' is not exposed by the graph
qwen3_0_6b	eos.finish_reason	MaxTokens/64
qwen3_0_6b	greedy.finish_reason	MaxTokens
qwen3_0_6b	greedy.repeat	3988,0,358,2776,773,12035,311,387,1588,0,358,2776,773,12035,311,387
qwen3_0_6b	greedy.tokens	3988,0,358,2776,773,12035,311,387,1588,0,358,2776,773,12035,311,387
qwen3_0_6b	load	ok
qwen3_0_6b	seeded.repeat	15846,0,358,2776,264,1602,22208,1697,11,323,358,1366,311,3920,1246,311
qwen3_0_6b	seeded.tokens	15846,0,358,2776,264,1602,22208,1697,11,323,358,1366,311,3920,1246,311
qwen3_0_6b	session.close	ok
qwen3_0_6b	session.open	ok
qwen3_0_6b	session.tokens	34
qwen3_0_6b	session.turn1	3988,0,358,2776,773,12035,311,387,1588,0,358,2776,773,12035,311,387|prefix=1
qwen3_0_6b	session.turn2	1052,0,358,2776,773,12035,311,387,1588,0,358,2776,773,12035,311,387|prefix=17
